EXAMPLES OF ISPF LM SERVICES CAN BE FOUND IN THE FOLLOWING MACROS:
SERVICE     MACRO
--------    --------
LMCLOSE     BLDCOPY
LMCLOSE     EDITPDS
LMCLOSE     MEMLIST
LMCLOSE     MSTATS
LMFREE      BLDCOPY
LMFREE      EDITPDS
LMFREE      MEMLIST
LMFREE      MSTATS
LMINIT      BLDCOPY
LMINIT      D
LMINIT      EDITPDS
LMINIT      MEMLIST
LMINIT      MSTATS
LMINIT      RNAME
LMMDEL      D
LMMDEL      XCOPY
LMMFIND     MSTATS
LMMLIST     MSTATS
LMMREN      RNAME
LMOPEN      BLDCOPY
LMOPEN      D
LMOPEN      EDITPDS
LMOPEN      MEMLIST
LMOPEN      MSTATS
LMOPEN      RNAME
LMOPEN      XCOPY
