#CTGPL           *MAP A CATALOG PARAMETER LIST (VERY OLD)..............*
ACTOR            *USE ARCHIVER COMPACTION ROUTINE TO COMPRESS DATA.....*
ACTRESS          *USE ARCHIVER EXPAND ROUTINE IN SORT E15 EXIT.........*
AMDSB            *MAP AMDSBCAT AREA FROM SVC26.........................*
ASTRA            *PROGRAM TO TEST FOR NAMED ADDRESS SPACES.............*
BILLTABL         *TABLE OF KOSTENSTELLE BY BILLING CENTRE..............*
BIOS             *STANDARD COPY BLOCKS FOR I/O SUPPORT.................*
BLANK            *SUB-ROUTINE TO BLANK AN AREA OF STORAGE TO HEX '40'  *
BLKSZRTN         *STANDARD OPEN EXIT CODE..............................*
CALLIT           *DYNAMICALLY INVOKE ANOTHER PROGRAM...................*
CALLITR          *DYNAMICALLY INVOKE ANOTHER PROGRAM - RE-ENTRANTLY....*
CATREAD          *VSAM CATALOG ACCESS ROUTINE..........................*
CAVEAT           *VSAM OPTIMISATION CONTROL CARD GENERATOR.............*
CEEBR14          *L/E IEFBR14..........................................*
CHARS19V         *DEFINE SPRECHER C.G.M. AND C.A.T. FOR SWISS NLS......*
CHARWORD         *ROUTINE TO FIND LENGTH OF AN 8-BYTE QUALIFIER .......*
CHARWORR         *RE-ENT ROUTINE TO FIND LENGTH OF AN 8-BYTE QUALIFIER *
CHEW$INS         *ASM AND LINK THE CHEW EXTERNAL WRITER................*
CHEW$JCL         *MY CHEW  EXTERNAL WRITER - THE PAPERLESS RUBBISH BIN *
CHEWCOMM         *CHEWBACA COMMON CSECT................................*
CHEWDYNA         *DYNAMICALLY ALLOCATE DISK FILE TO HOLD JOB OUTPUT....*
CHEWMAIN         *ARCHIVE REDUNDANT SYSOUT IN FLAT FILES...............*
CHEWOUT          *FIND LAST DATASET IN CATALOG FOR GIVEN INDEX.........*
CHEWPARS         *PARSE COMMANDS AND PROCESS...........................*
CHEWREPT         *WRITE REPORT TO SYSOUT...............................*
CHEWSKIP         *CONVERT ALL ARCHIVE DATASETS TO ASA CONTROL..........*
CLEAR            *SUB-ROUTINE TO CLEAR AN AREA OF STORAGE TO HEX ZEROES*
CLEARR           *RE-ENT CODE TO CLEAR AN AREA OF STORAGE TO HEX ZEROES*
CLOSEM           *CLOSE ANY OPEN DATASETS..............................*
CNVTHMS          *TIME CONVERSION MACRO - EX PYCROFT...................*
CONVWORD         *CONVERT A FULLWORD TO ZONED DECIMAL DATA.............*
CPB              *CALLED PROGRAM CONTROL BLOCK.........................*
