SHARE User Conferences:

Santa Monica, CA            August 1955
Philadelphia, PA            September 1955
Boston, MA                  November 1955
San Francisco, CA           February 1956
Chicago, IL                 May 1956
Denver, CO                  August 1956
New York, NY                December 1956
Dallas, TX                  April 1957
San Diego, CA               October 1957
Washington, DC              February 1958
San Francisco, CA           September 1958
New York, NY                February 1959
Seattle, WA                 August 1959
Los Angeles, CA             February 1960
Pittsburgh, PA              September 1960
San Francisco, CA           March 1961
Washington, DC              August 1961
Denver, CO                  March 1962
Toronto, Canada             September 1962
San Diego, CA               February 1963
Miami Beach, FL             August 1963
San Francisco, CA           March 1964
Philadelphia, PA            August 1964
Los Angeles, CA             March 1965
Chicago, IL                 August 1965
San Diego, CA               February 1966
Toronto, Canada             August 1966
San Francisco, CA           February 1967
Miami Beach, FL             August 1967
Houston, TX                 February 1968
Atlantic City, NJ           October 1968
Los Angeles, CA             March 1969
Boston, MA                  August 1969
Denver, CO                  March 1970
Montreal, Quebec            August 1970
Los Angeles, CA             March 1971
New York, NY                August 1971
San Francisco, CA           March 1972
Toronto, Canada             August 1972
Denver, CO                  March 1973
Miami Beach, FL             August 1973
Houston, TX                 March 1974
Chicago, IL                 August 1974
Los Angeles, CA             March 1975
New York, NY                August 1975
San Francisco, CA           February 1976
Montreal, Quebec            August 1976
Houston, TX                 March 1977
Washington, DC              August 1977
Denver, CO                  March 1978
Boston, MA                  August 1978
San Francisco, CA           March 1979
New York, NY                August 1979
Anaheim, CA                 March 1980
Atlanta, GA                 August 1980
Houston, TX                 March 1981
Chicago, IL                 August 1981
Los Angeles, CA             March 1982
New Orleans, LA             August 1982
San Francisco, CA           February 1983
New York, NY                August 1983
Anaheim, CA                 March 1984
Miami, FL                   August 1984
Los Angeles, CA             February 1985
New Orleans, LA             August 1985
Anaheim, CA                 March 1986
Atlanta, GA                 August 1986
San Francisco, CA           March 1987
Chicago, IL                 August 1987
Anaheim, CA                 February 1988
New York, NY                August 1988
Los Angeles, CA             February 1989
Orlando, FL                 August 1989
Anaheim, CA                 March 1990
New Orleans, LA             August 1990
San Francisco, CA           February 1991
Chicago, IL                 August 1991
Anaheim, CA                 March 1992
Atlanta, GA                 August 1992
San Francisco, CA           February 1993
Washington, DC              August 1993
Anaheim, CA                 February 1994
Boston, MA                  August 1994
Los Angeles, CA             February 1995
Orlando, FL                 August 1995
Anaheim, CA                 March 1996
New Orleans, LA             July 1996
San Francisco, CA           March 1997
Atlanta, GA                 August 1997
Anaheim, CA                 February 1998
Washington, DC              August 1998
San Francisco, CA           February 1999
Chicago, IL                 August 1999
Anaheim, CA                 March 2000
Boston, MA                  July 2000
Long Beach, CA              February 2001
Minneapolis, MN             July 2001
Nashville, TN               March 2002
San Francisco, CA           August 2002
Dallas, TX                  February 2003
Washington, DC              August 2003
Long Beach, CA              February 2004
New York, NY                August 2004
Anaheim, CA                 February 2005
Boston, MA                  August 2005
Seattle, WA                 March 2006
Baltimore, MD               August 2006
Tampa, FL                   February 2007
San Diego, CA               August 2007
Orlando, FL                 February 2008
San Jose, CA                August 2008
Austin, TX                  March 2009
Denver, CO                  August 2009
Seattle, WA                 March 2010
Boston, MA                  August 2010
Anaheim, CA                 February 2011
Orlando, FL                 August 2011
Atlanta, GA                 March 2012
Anaheim, CA                 August 2012
San Francisco, CA           February 2013
Boston, MA                  August 2013
Anaheim, CA                 March 2014
Pittsburgh, PA              August 2014
Seattle, WA                 March 2015
Orlando, FL                 August 2015
San Antonio, TX             February 2016
Atlanta, GA                 July 2016
San Jose, CA                March 2017
Providence, RI              August 2017
Sacramento, CA              March 2018
St Louis, MO                August 2018
Phoenix, AZ                 March 2019
Pittsburgh, PA              August 2019
Fort Worth, TX              February 2020
Columbus, OH                August 2021
