Member   Description
-------  ---------------------------------------------------------------
$$$ABOUT Release information
$$$DESCR Function Descriptions
$$$INDEX This Member
$$$SYNTX Syntax of Functions
RFP1000  Example using ENQLIST to display all waiting enqueues
RFP1001  Example using XLATEUM to selectively translate to ASCII
RFP1002  Example using ZIP function (also uses percent function)
RFP1003  Example using TASKS and SLEEP function to check a Task
RFP1004  Example using GDG to allocate a new GDG Generation
RFP1005  Example using FILTER to compare a file of dataset names
RFP1006  Example using WHOAMI & TOD2GRG to get Jobnumber & Start Time
RFP1007  Example using UNITS/TM to display tape drive units and status
RFP1008  Example using TODOFF to establish the date in 200 days time
RFP1009  Example using REXXHC to display the REXX host command table
RFP1010  Example using REXXFP to display any REXX function packages
RFP1011  Example using LISTDD & LISTJF to display allocated datasets
RFP1012  Example using LISTLINK to find a program in the linklist
RFP1013  Example using MEMBERS to search for a string in a PDS
RFP1014  Example using MLWTO to issue a multi-line WTO
RFP1015  Example using C2B, B2C and P2D numeric conversions
RFP1016  Example using MALLOC & MFREE to dynamically allocate storage
RFP1017  Example using TASKS to display which TSO users are logged on
RFP1018  Example using LEAPYEAR to display number of days remaining
RFP1019  Example using HEXADD to display system control blocks
RFP1020  Example using IPLDATE do display the date of the last IPL
RFP1021  Example using GRG2TOD convert a from Gregorian to Julian
RFP1022  Example using TODOFF to establish days until the year2000
RFP1023  Example using TODDAY to establish the day of the year2000
RFP1024  Example using MALLOC/MFREE to communicate with OPC/ESA
RFP1025  Example using MEMBERS/CLS to display assembler DSECTS
RFP1027  Example using SPRINT to display a progress control
RFP1028  Example using RACHECK to check a users access to datasets
RFP1029  Example using SCANLOAD to display CSECTS in a load module
RFP1030  Example using COMPUM to compare substrings of a string
RFP1031  Example using SORTSTAK to sort a data stack
RFP1032  Example using FMEMBER to find a member in a concatenation
RFP1033  Example using SIZEOF to establish the size of a dataset
RFP1034  Example using comparing the efficency of FINDCHAR V's INDEX
RFP1035  Example using SNAP to produce a formatted REXX Dump
RFP1036  Example using LISTLINK and SAYSTAK to display the linklist
RFP1037  Example using DEFAULT to set default values
RFP1038  Example using RESOLVE to resolve JCL type variables
