B2C      B2C(binary_string)
CLS      CLS()
COMPUM   COMPUM(filter,string_1,string_2)
CONCAT   CONCAT(DDName|DSName,DDName|DSName .........)
C2B      C2B(character_string)
DEFAULT  DEFAULT(current_value,default_value)
ENQLIST  ENQLIST({major},{minor},{'ONLY'},{'NOSTAK'})
FILTER   FILTER(filter_string,string)
FINDCHAR FINDCHAR({string},characters,{occurence})
FMEMBER  FMEMBER(DD_Name,Member_Name)
GDG      GDG(relative_gdg_name)
GRG2TOD  GRG2TOD(gregorian_date,{date_format})
HEXADD   HEXADD(hex_string,{hex_string},{decimal_string},{S¦X¦D¦C})
IPLDATE  IPLDATE()
LEAPYEAR LEAPYEAR(year)
LISTDD   LISTDD({filter},{'NOSTAK'})
LISTJF   LISTJF(ddname,{filter},{'NOSTAK'})
LISTLINK LISTLINK({filter})
MALLOC   MALLOC(length)
MEMBERS  MEMBERS(dsname,{filter},{'NOSTAK'})
MFREE    MFREE(address)
MLWTO    MLWTO(line1,..,.,,.,,.,,......    ,{line255})
PERCENT  PERCENT(number1,number2)
P2D      P2D(packed_decimal_number)
RACHECK  RACHECK(entity,{READ|UPDATE|ALTER|CONTROL},{class})
RESOLVE  RESOLVE(string)
REXXFP   REXXFP()
REXXHC   REXXHC()
SAYSTAK  SAYSTAK()
SCANLOAD SCANLOAD(load_library,module)
SIZEOF   SIZEOF(datasetname)
SLEEP    SLEEP(sleep_time)
SNAP     SNAP({snap_title},{alternate_DDName})
SORTSTAK SORTSTAK({start_offset},{length},{A|D})
SPRINT   SPRINT(message_text,{X-Pos},{Y-Pos},{R|B|G|Y|W|P|T},{R,U,B})
TASKS    TASKS({name_filter},{TSU¦STC¦JOB},{user_filter},{'NOSTAK'})
TM       TM(byte,hex_mask)
TOD      TOD()
TODDAY   TODDAY()
TODDIF   TODDIF(tod_value1,{tod_value2})
TODOFF   TODOFF(tod_value,{+¦-},{days},{hours},{minutes})
TOD2GRG  TOD2GRG(tod_value,{date_format})
UNITS    UNITS('DASD'¦'TAPE')
UNZIP    UNZIP(zipped_string)
WHOAMI   WHOAMI()
XLATEUM  XLATEUM('A'¦'E',string,mask)
ZIP      ZIP(string)
