
 Members indexed alphabetically

 Note: these 3 members all refer to the same set of programs
 $DOC       overview of programs/systems
 $INDEX     programs/systems sorted by function

 $INDEX2    programs/systems sorted alphabetically


 JCI0057B   list SMS INVISION batch jobs/durations
 JCI57B     jcl for JCI0057B
 MIS0480B   pull element list from sut delivery list
 MIS0485B   compare element list to sut delivery list
 MIS0490B   build dfdss copy statements from SUT delivery list
 MIS0515B   distribute PX adhocs into separate files
 MIS0580B   list move requests from SUT delivery list
 PAP19A6$   job step to split PX adhocs into multiple files
 PXADHOCZ   job step to split PX 'Z' adhocs into multiple files
 SMSACA     test proc to split PX adhocs into multiple files
 SMSAC010   input to SMSACA
 SMSAJ      PX adhocs scheduled depending on month
 SMSAJ030   input to SMSAJ
 SMSAJ050   input to SMSAJ
 SMSAJ052   input to SMSAJ
 SMSAJ054   input to SMSAJ
 SMSAJ056   input to SMSAJ
 SMSAK      PX adhocs scheduled depending on month
 SMSAK020   input to SMSAK
 SMSAK040   input to SMSAK
 SMSAK050   input to SMSAK
 SMSAK052   input to SMSAK
 SMSAK054   input to SMSAK
 SMSAK056   input to SMSAK
 SMSARDLY   input to SMSJOBS
 SMSARSPL   input to SMSJOBS
 SMSBDSPL   input to SMSJOBS
 SMSBFIL    generate dfdss backup parms from SUT delivery list
 SMSBKUP    jcl for backing-up key files before a SUT install
 SMSCCCL    input to SMSJOBS
 SMSCHNG    alter SUT install JCL: space, volser, etc - job
 SMSCHN1    alter SUT install JCL: space, volser, etc - proc
 SMSCHN2    spread primary SUT volser throughout SUT files
 SMSCICS    compress/delete cics load libraries/modules for cics SUT
 SMSCMP01   input to SMSCOMP
 SMSCMP02   input to SMSCOMP
 SMSCNG01   SMSCHNG:  vsiltest
 SMSCNG02   SMSCHNG:  vsilprod
 SMSCNG03   SMSCHNG:  dbhltest  enlarge default space parameters
 SMSCNG04   SMSCHNG:  dbhlprod  enlarge default space parameters
 SMSCNG05   SMSCHNG:  cpy2test  enlarge default space parameters
 SMSCNG06   SMSCHNG:  cpy2prod  enlarge default space parameters
 SMSCNG07   SMSCHNG:  sixsc$$$
 SMSCNG08   SMSCHNG:  siysc$$$
 SMSCOMP    compare SUT delivery elements (a SUT 'CYA' report)
 SMSCOPY    make copies of pre-sut libraries before SUT install
 SMSC4MXU   input to SMSJOBS
 SMSDOC     generic SUT job jcl
 SMSHMDLY   input to SMSJOBS
 SMSHMSPL   input to SMSJOBS
 SMSIPFSP   input to SMSJOBS
 SMSJES1    purge and alter jes reports/jcl
 SMSJES2    purge and alter jes reports/jcl
 SMSJOBS    retrofit site customizations to SUT delivery elements
 SMSLOAD    empty and compress staging libraries
 SMSMAIL    generate cut-and-paste SUT notification mail
 SMSMEM     append to proc SISTDAPL to load custom SUT jobs
 SMSMIVBK   input to SMSJOBS
 SMSNOTE    SMS SUT install procedures
 SMSOPSPL   input to SMSJOBS
 SMSOPTRN   input to SMSJOBS
 SMSPAEZ0   input to SMSJOBS
 SMSPAP01   input to SMSJOBS
 SMSPAP02   input to SMSJOBS
 SMSPAP05   input to SMSJOBS
 SMSPAP08   input to SMSJOBS
 SMSPAP10   input to SMSJOBS
 SMSPAP13   input to SMSJOBS
 SMSPAP18   input to SMSJOBS
 SMSPAP24   input to SMSJOBS
 SMSPAP33   input to SMSJOBS
 SMSPCPR2   input to SMSJOBS
 SMSPRNT    print SISTDAPL report
 SMSPROVL   input to SMSJOBS
 SMSPULP    input to SMSJOBS
 SMSPULT    input to SMSJOBS
 SMSPUL06   input to SMSJOBS
 SMSPUL99   input to SMSCOMP
 SMSREF     first half of SMSCOMP to refresh listing of SUT contents
 SMSREQ     print SUT 'move requests' by number
 SMSSUT     used to warn analysts that a SUT member has been delivered

