Access(testing spool) Spooltest         ID, Spool res name, access lvl         5
Access(testing DSN)   Dsntest           ID, DSname, Requested access           5
Access(testing VOL)   Voltest           ID, VOLUME, Requested access           5
Acct num (adding)     Addacct           ID, The acct # to add                  5
Acct num (remove)     Remacct           ID, The acct # to remove               4
Add account numb      Addacct           ID, The acct number                   10
Add facility          Af                ID, The facility                       4
Add logon proc        Addproc           ID, The logon proc                     4
Add ACID              Add               ID to be created                       4
Add STC               Addstc            STCNAME, ID it is to use               9
All access (DSNs)     Dsnall            ID, DSname, # days ('AUDIT')           5
Audit changes to ID   Saudit            ID changed, days back to go            5
Audit ID              Audit             ID , # of days back to go              6
ACCT (TSO auth)       Tsoauth           ID, 'ACCT'                             6
Batch                 Batch             None                                   6
Browse Util DSN       B1 b2 b3 b4 b5    NONE                                   5
Cache status          Cachestat         None                                  10
Change mode           Batch/online      None                                   4
Change password       Pwrep             ID, The new password                   8
Changes to ID         Saudit            ID changed, days back to go            5
Clone an ID           CL                Current ID, ID 2 B created             5
Cmdout                Cmdo              The Cmnd to be issued to TSO           9
Cmdout to screen      Cmds              The Cmnd to be issued to TSO           9
Convert               Co                ID to be converted or BYPASS           5
Dataset (see DSN)     Dsnxxx            ID, DSname, # days ('AUDIT')           5
Debug writing log     Writedebug        None                                   2
Default TSO acct      Defacct           ID, The new default account            2
Default TSO proc      Defproc           ID, The new default LProc              2
Default TSO setup     Deftso            ID, Lproc, Acct #                     10
Default TSO size      Defsize           ID, The new default size               5
Default TSO unit      Defunit           ID, The new default unit               4
Delete group          Groupdelete       Group of Ids to be deleted            10
Delete ID             Delete            ID to be deleted                       4
Delete ID UNDO        Resurrect         ID to be recreated                     5
Dsn auth (all)        Dsnall            ID, DSname, # days ('AUDIT')           5
Dsn auth (read)       Dsnread           ID, DSname, # days ('AUDIT')           5
Dsn auth (update)     Dsnupdate         ID, DSname, # days ('AUDIT')           5
Dsn auth (None)       Dsnnone           ID, DSname, # days ('AUDIT')           5
Dsn auth revoking     Dsnrevoke         ID, DSname                             5
Dsn test access       Dsntest           ID, DSname, Requested access           5
Dsn Ownership(adding) Dsnown            ID, DSname                             5
Error log Write       Writedebug        None                                   5
Expire                Expire            ID, # of days ( MAX = 255)            10
Extending, password   Pwx               ID                                    10
EDIT   Util DSN       E1 e2 e3 e4 e5    NONE                                   3
Facility Adding       Af                ID, The facility                       4
Facility Listing      Lfac              facility                               8
Facility Modify       Modfac            facility, res1, res2 *CAUTION         10
Group command         Groupc            Group, The command to issue           10
Group delete          Groupdelete       Group of Ids to be deleted            10
Insert                In                ID, profile , position + days         10
ID clone              Clone             ID, ID to be cloned from*CAUTION       4
ID converting to JCL  Co                ID to be converted                     4
ID creation           Add               The ID to be created                   4
JCL (TSO auth)        Tsoauth           ID, TSO authority to grant             9
List facility         Lfac              The facility name                      9
List name             Listname          ID to have names listed                2
List password         Listpw            ID                                     6
List ID               L                 ID, data to be listed                  4
List ID(screen)       Ls                ID, data to be listed                  3
Listout               Lo                ID, data to be listed                  2
Listout to screen     Ls                ID, data to be listed                  2
Locate                .xxxxx            None                                   2
Log Debug Write       Writedebug        None                                   2
Logon Proc            Addproc/remproc   ID, proc to be added/removed           1
Mode change           Batch/online      None                                   4
Modify facility       Modfac            facility, res1, res2 *CAUTION         10
Modifying a profile   Modify            Profile                                6
MOUNT (TSO auth)      Tsoauth           ID, 'MOUNT'                           10
MVS cmds permitting   Opercmdper        ID, The oper command to permit         9
MVS cmds revoking     Opercmdrev        ID, The oper command to revoke         9
Name replace          Newn              ID, the new name for the ID            2
Online                Online            None                                   4
Opercmds permitting   Opercmdper        ID, The oper command to permit         4
Opercmds revoking     Opercmdrev        ID, The oper command to revoke         8
Ownership DSN(adding) Dsnown            ID, DSname                             9
OPER (TSO auth)       Tsoauth           ID, 'OPER'                             8
Password extension    Pwx               ID                                     5
Password list         Listpw            ID                                     4
Password overlay      Pwrep             ID, The new password                   4
Password NON expire   Pwnoxp            ID                                     8
Print a DSN           Printdsn          The dataset to print                  14
Proc logon adding     Addproc           ID, The logon to add                  10
Proc logon removing   Remproc           ID, The logon proc to remove          10
Profile inserting     In                ID, profile , position + days          6
Profile modifying     Modify            Profile                                6
Profile rem all ids   Disconnect        Profile                                8
Profile replacing     Repprof           Old prof, newprof                      4
PARMLIB (TSO auth)    Tsoauth           ID, 'PARMLIB'                          4
Read authority        Dsnread           ID, DSname, # days ('AUDIT')           5
Reinit                Reinit            None                                   4
Rem logon proc        Remproc           ID, The logon proc to remove           5
Remove                Re                ID                                     6
Remove auth           Remat             ID                                     5
Remove auth (DSNs)    Dsnnone           ID, DSname, # of days to prevent       5
Remove facility       Rf                ID, The facility to remove             4
Remove ids profile    Disconnect        Profile                                8
Remove logon proc     Remproc           ID, The logon proc to remove          10
Remove Acct numb      Remacct           ID, The acct # to remove               5
Remove STC            Remstc            ID, The stc entry to delete            9
Rename                Rename            ID, The new ID name                    4
Replace name          Newn              ID, the new name for the ID            4
Replace password      Pwrep             ID, The new password                  10
Replace prof globally Repprof           Old prof, newprof                      4
Replacing, name field Newname           ID, the new name for the ID            4
Reset a userid        Reset             ID                                     5
Resurrection          Resurrect         ID to be recreated                     5
Run audit job         Audit             ID , # of days back to go             10
Scrolling             Pf7 and 8         None                                   5
Spool access test     Spooltest         ID, spool resource, access level       2
Status                Status or pf1     None                                   4
Submit batch          Sub               None                                   4
Suspend(adding)       Suspend           ID                                     2
Suspend(removing )    Unsus             ID                                     4
Test DSN access       Dsntest           ID, DSname, Requested access           4
Test, volume access   Voltest           ID, VOLUME, Requested access           4
TSO account #         Addacct           ID, The acct # to add                  6
TSO default size      Defsize           ID, The new default size               4
TSO default unit      Defunit           ID, The new default unit               4
TSO default Acct      Defacct           ID, The new default account            4
TSO full setup        Deftso            ID, Lproc, ACCT #                      4
TSO logon proc        Addproc           ID, The logon to add                   4
TSO Account cmd       Tsoauth           ID, 'ACCT'                             4
TSO JCL authority     Tsoauth           ID, 'JCL'                              6
TSO Max Size          Maxsize           ID, new max size in K                  6
TSO Mount             Tsoauth           ID, 'MOUNT'                            4
TSO Oper auth         Tsoauth           ID, 'OPER'                             6
TSO Parmlib           Tsoauth           ID, 'PARMLIB'                          6
Undelete a userid     Resurrect         ID to be recreated                     5
Unsuspend             Unsus             ID                                     4
Update authority      Dsnupdate         ID, DSname, # days ('AUDIT')           5
Variable change       Pf1               None                                   5
Variable view         Pf1               None                                   2
Volume,testing access Voltest           ID, VOLUME, Requested access           2
