Access(testing spool) Spooltest         ID, Spool res name, access lvl         5
Access(testing DSN)   Dsntest           ID, DSname, Requested access           5
Access(testing VOL)   Voltest           ID, VOLUME, Requested access           5
Acct num (adding)     Addacct           ID, The acct # to add                  5
Acct num (remove)     Remacct           ID, The acct # to remove               4
Adabas file allow     Adaa              ID, The Adabas #, the file #          14
Adabas file prevent   Adap              ID, The Adabas #, the file #          14
Adabas file revoke    Adar              ID, The Adabas #, the file #          20
Add account numb      Addacct           ID, The acct number                   10
Add facility          Af                ID, The facility                       4
Add logon proc        Addproc           ID, The logon proc                     4
Add ACID              Add               ID to be created                       4
Add STC               Addstc            STCNAME, ID it is to use               9
Admin (making one)    Admin             ID, level of auth 2 give (1-5)         5
Admin (tracking 1)    Track             ID, # of days to go back              10
All access (DSNs)     Dsnall            ID, DSname, # days ('AUDIT')           5
Allow ADABAS file     Adaa              ID, The Adabas #, the file #          16
Audit an admin ID     Track             ID, # of days to go back               5
Audit changes to ID   Saudit            ID changed, days back to go            5
Audit ID              Audit             ID , # of days back to go              6
ACCT (TSO auth)       Tsoauth           ID, 'ACCT'                             6
APF list              Apflist           APF suffix, string to look 4           9
Batch                 Batch             None                                   6
Billing job submit    Billjob           None                                   9
Billing update        Imsbill           The booknumber to view/update          4
Book # Add(TSS)       Addacct           ID, The acct # to add                  6
Book # Add(UADS)      Book              ID, Book#, Proc                        4
Book # Admin auth     Bkadmin/bkadd     ID, Book#                              5
Book # Del(TSS)       Remacct           ID, The acct # to remove               5
Book # Del(UADS)      Delbook           ID, Book#                              5
Book # Delete auth    Bkdeadmin/bkdel   ID, Book#                              5
Book # Ownership      Bkown             ID, Book#                              9
Browse Util DSN       B1 b2 b3 b4 b5    NONE                                   5
Bypass add            Bypadd            Facility, res1, res2 *CAUTION          9
Bypass remove         Byprem            Facility, res1, res2 *CAUTION          9
Cache status          Cachestat         None                                  10
Change mode           Batch/online      None                                  10
Change password       Pwrep             ID, The new password                   8
Changes to ID         Saudit            ID changed, days back to go            5
Clist permitting      Clistadd          The Clist name                         9
Clist revoking        Clistrem          The Clist name                         9
Cmdout                Cmdo              The Cmnd to be issued to TSO           9
Cmdout to screen      Cmds              The Cmnd to be issued to TSO           9
Convert               Co                ID to be converted or BYPASS           5
Creating admin ID     Admin             ID, level of auth to give              5
CICS                  Bypadd/byprem     Facility, res1, res2                   9
Dataset (see DSN)     Dsnxxx            ID, DSname, # days ('AUDIT')           5
Debug writing log     Writedebug        None                                   2
Default TSO acct      Defacct           ID, The new default account            2
Default TSO proc      Defproc           ID, The new default LProc              2
Default TSO setup     Deftso            ID, Lproc, Acct #                     10
Default TSO size      Defsize           ID, The new default size               5
Default TSO unit      Defunit           ID, The new default unit               4
Delete book num       Delbook           ID, book # to be deleted               4
Delete group          Groupdelete       Group of Ids to be deleted            10
Delete ID             Delete            ID to be deleted                       4
Delete ID UNDO        Resurrect         ID to be recreated                     5
Dsn auth (all)        Dsnall            ID, DSname, # days ('AUDIT')           5
Dsn auth (read)       Dsnread           ID, DSname, # days ('AUDIT')           5
Dsn auth (update)     Dsnupdate         ID, DSname, # days ('AUDIT')           5
Dsn auth (None)       Dsnnone           ID, DSname, # days ('AUDIT')           5
Dsn auth removing     Dsnremove         ID, DSname                             5
Dsn test access       Dsntest           ID, DSname, Requested access           5
Dsn Ownership(adding) Dsnown            ID, DSname                             5
Dsnconvert            Dsncon            The DSname to convert                  8
Dsnconvert (audit)    Dsncona           The DSname                             8
Dsnconvert REMOVAL    Dsnrem            The DSname                             8
Empl. # search        Ie                The 4 or 5 digit number                5
Error log Write       Writedebug        None                                   5
Expire                Expire            ID, # of days ( MAX = 255)            10
Extending, password   Pwx               ID                                    10
EDIT   Util DSN       E1 e2 e3 e4 e5    NONE                                   3
Facility Adding       Af                ID, The facility                       4
Facility Listing      Lfac              facility                               8
Facility Modify       Modfac            facility, res1, res2 *CAUTION         10
File ADABAS prevent   Adap              ID, The Adabas #, the file #          14
Group command         Groupc            Group, The command to issue           10
Group delete          Groupdelete       Group of Ids to be deleted            10
Inquire               I/io              The name or OPID to search 4          10
Insert                In                ID, profile , position + days         10
ID addition (JES)     Jesidadd          ID, the ID to be given                10
ID checking           Idcheck           ID to be checked                       2
ID clone              Clone             ID, ID to be cloned from*CAUTION       4
ID converting to JCL  Co                ID to be converted                     4
ID creation           Add               The ID to be created                   4
ID removal  (JES)     Jesidadd          ID, the ID to be given                 8
ID Tracking           Track             ID, # of days to go back               3
Job addition (JES)    Jesjobadd         ID, the Jobname to be given            3
Jobclass open 2 all   Classopen         The one character class*CAUTION        4
Jobclass permitting   Classadd          The one character class                6
Jobclass protecting   Classlock         The one character class*CAUTION        4
Jobclass revoking     Classrem          The one character class               10
JCL (TSO auth)        Tsoauth           ID, TSO authority to grant             9
JES   access test     Spooltest         ID, spool resource, access level      10
JES ID  addition      Jesidadd          ID, the ID to be given                 9
JES ID  removal       Jesidremove       ID, the ID to be given                 6
JES JOB addition      Jesjobadd         ID, the Jobname to be given            4
JES JOB removal       Jesjobremove      ID, the Jobname to be removed          4
JOB removal (JES)     Jesjobremove      ID, the Jobname to be removed          4
List billing table    Listbill          List actual billing entry              4
List facility         Lfac              The facility name                      9
List name             Listname          ID to have names listed                2
List password         Listpw            ID                                     6
List ID               L                 ID, data to be listed                  4
List ID(screen)       Ls                ID, data to be listed                  3
Listout               Lo                ID, data to be listed                  2
Listout to screen     Ls                ID, data to be listed                  2
Locate                .xxxxx            None                                   2
Log Debug Write       Writedebug        None                                   2
Logon Proc            Addproc/remproc   ID, proc to be added/removed           1
Mode change           Batch/online      None                                   4
Modify facility       Modfac            facility, res1, res2 *CAUTION         10
Modifying a profile   Modify            Profile                                6
MOUNT (TSO auth)      Tsoauth           ID, 'MOUNT'                           10
MVS cmds permitting   Opercmdper        ID, The oper command to permit         9
MVS cmds revoking     Opercmdrev        ID, The oper command to revoke         9
Name replace          Newname           ID, the new name for the ID            2
Name search           I                 The first 3+ chrs of name              4
Online                Online            None                                   4
Opercmds permitting   Opercmdper        ID, The oper command to permit         4
Opercmds revoking     Opercmdrev        ID, The oper command to revoke         8
Ownership DSN(adding) Dsnown            ID, DSname                             9
OMON command define   Omondef           The OMON command                       8
OMON command permit   Omonper           ID, The OMON command                   8
OMON command revoke   Omonrev           ID, The OMON command                   8
OPER (TSO auth)       Tsoauth           ID, 'OPER'                             8
OPID search           Io                The 3 chr opid to look 4               8
Panel cmd Adding      Pcmdadd           The ID, The panel, The command        16
Panel cmd Opening     Pcmdopen          The panel, The command                16
Panel cmd Protect     Pcmdlock          The panel, The command                19
Panel cmd Removing    Pcmdrem           The ID, The panel, The command        19
Panel cmd Who         Pcmdwho           The panel                             19
Password extension    Pwx               ID                                     5
Password list         Listpw            ID                                     4
Password overlay      Pwrep             ID, The new password                   4
Password NON expire   Pwnoxp            ID                                     8
Prevent ADABAS file   Adap              ID, The Adabas #, the file #          13
Print a DSN           Printdsn          The dataset to print                  14
Proc logon adding     Addproc           ID, The logon to add                  10
Proc logon removing   Remproc           ID, The logon proc to remove          10
Profile inserting     In                ID, profile , position + days          6
Profile modifying     Modify            Profile                                6
Profile rem all ids   Disconnect        Profile                                8
Profile replacing     Repprof/repprofk  Old prof, newprof                      4
PARMLIB (TSO auth)    Tsoauth           ID, 'PARMLIB'                          4
Read authority        Dsnread           ID, DSname, # days ('AUDIT')           5
Reinit                Reinit            None                                   4
Rem logon proc        Remproc           ID, The logon proc to remove           5
Remove                Re                ID                                     6
Remove auth           Remat             ID                                     5
Remove auth (DSNs)    Dsnnone           ID, DSname, # of days to prevent       5
Remove facility       Rf                ID, The facility to remove             4
Remove ids profile    Disconnect        Profile                                8
Remove logon proc     Remproc           ID, The logon proc to remove          10
Remove Acct numb      Remacct           ID, The acct # to remove               5
Remove STC            Remstc            ID, The stc entry to delete            9
Rename                Rena              ID, The new ID name                    4
Replace               Rp                ID, prof to go, prof to rep it         4
Replace password      Pwrep             ID, The new password                  10
Replace prf(global)   Replace           Profile, prof to replace it            4
Replace Name          Newname           ID, the new name for the ID            4
Replacing a profile   Repprof/repprofk  Old prof, newprof                      4
Replacing, name field Newname           ID, the new name for the ID            4
Reset                 R                 ID                                     5
Resurrection          Resurrect         ID to be recreated                     5
Resource ownership    Rwho              rtype, rname, entire outdsn            5
Revoke ADABAS file    Adar              ID, The Adabas #, the file #          14
Run audit job         Audit             ID , # of days back to go             10
Scrolling             Pf7 and 8         None                                   5
Spool access test     Spooltest         ID, spool resource, access level       2
Spool ID auth (JES)   Jesidadd/rem      ID, the ID to be affected              4
