DSN=TEST.DASD.INFO                   DASD GROUP INFO
DSN=SYS1.PPOPTION(TSOUSERS)          IDENTIFY PHONES
DSN=DATACOM.WXX0060.DIRECTRY         (SEC) CORP PHONES
DSN=ACF2.ACF.RECORDS.DATA            (SEC) ACF2 LIDS
DSN=ACF2.LID.LIST                    (SEC) SIMPLE LIST
DSN=SYS1.PARMLIB(IKJTSO00)           (AUTHCMD, AUTHPGM, AUTHTSF)
DSN=SPP.ACF2.V52.ACFGEN              MEMBERS TSOCMDNN
DSN=H010586.TSO.LINKSQCB             BC/BS/INQ LINKEDITS
DSN=PROD.DPFORMS.DATA                STD1, FORMS  INFO
DSN=TEST.DASD.INFO(SMSINFO)          SMS INFORMATION
DSN=ACF2SRM.LID.LIST                 TSO LOGONID INFO
DSN=EMVSP.IMSVS.PGMLIB               PRODUCTION LOAD (1)
DSN=SYSTEM.SYSB.DUMP.ARCHIVE         DUMP ARCHIVE INFO
DSN=SPP.MAGAZINE.DATA                MAGAZINE CONTENTS
DSN=SPP.OPTIONAL.NAMES               OPTIONAL MTLS TAPE DIRECTORY
DSN=IMS.V310.TEST.DBSOURCE           IMS DB SOURCE
DSN=SPP.CBT.FILE001                  CBT INDEX
DSN=SPP.TSTCBT.FILEXXX               CBT FILES
