//BC0THORD JOB (1152002-9800039,,TMVS01-UR-XXXX),'DTHORNTON',CLASS=V,
//   MSGCLASS=Y,NOTIFY=BC0THOR,REGION=4M
//JESOUT OUTPUT GROUPID=02A,DEFAULT=YES,JESDS=ALL,
//   PAGEDEF=GRYBIG,FORMDEF=GRYBIG
//*******************************************************************
//*                 BC0THOR.PDS.JCL(BLDTBL )                        *
//* BUILD TABLE FILE OF COBOL LIBRARY SUBROUTINE SIZES              *
//*******************************************************************
//*
//SCRATCH  EXEC PGM=IDCAMS
//SYSPRINT DD SYSOUT=*
//SYSIN    DD *
 DELETE BC0THOR.TSTILB.TABLE NONVSAM
//*
//BLDTBL   EXEC  PGM=BLDTBL
//STEPLIB  DD    DSN=BC0THOR.LOAD.LOAD,DISP=SHR
//SYSUDUMP DD    SYSOUT=*
//SYSPRINT DD    SYSOUT=*,BLKSIZE=0
//OUTPUT1  DD    DSN=BC0THOR.TSTILB.TABLE,DISP=(,CATLG),
//         UNIT=DISK,SPACE=(TRK,(5,1),RLSE),
//         RECFM=FB,LRECL=20,BLKSIZE=0
//SUBRTN1  DD    DSN=CEE.SCEELKED,DISP=SHR
//SUBRTN2  DD    DSN=COB4.COBLIB,DISP=SHR
//SUBRTN3  DD    DSN=SPP.COB4.COB2LIB,DISP=SHR
//SUBRTN4  DD    DSN=SYS1.VSCOLIB,DISP=SHR
