TGT                          00000

SAVE AREA               18F  00000
SWITCH                  XL4  00048
TALLY                   F    0004C
SORT SAVE               A    00050
ENTRY-SAVE              F    00054
SORT CORE SIZE          F    00058
RET CODE                H    0005C
SORT RET                H    0005E
WORKING CELLS           76F  00060
SORT FILE SIZE          F    00190
SORT MODE SIZE          F    00194
PGT-VN TBL              F    00198
TGT-VN TBL              F    0019C
RESERVED                F    001A0
LENGTH OF VN TBL        H    001A4
LABEL RET               X    001A6
RESERVED                X    001A7
DBG R14SAVE             A    001A8
COBOL INDICATOR         XL4  001AC
A(INIT1)                A    001B0
DEBUG TABLE PTR         A    001B4
SUBCOM PTR              A    001B8
SORT-MESSAGE            XL8  001BC
SYSOUT DDNAME           X    001C4
RESERVED                X    001C5
COBOL ID                H    001C6
COMPILED POINTER        A    001C8
COUNT TABLE ADDRESS     A    001CC
RESERVED                2F   001D0
DBG R11SAVE             A    001D8
COUNT CHAIN ADDRESS     A    001DC
PRBL1 CELL PTR          A    001E0
RESERVED                XL5  001E4
TA LENGTH               XL3  001E9
RESERVED                XL8  001EC
PCS LIT PTR             A    001F4
DEBUGGING               F    001F8
CD FOR INITIAL INPUT    F    001FC
OVERFLOW CELLS          0A   001F0
BL CELLS                3A   001F0
DECBADR CELLS           0A   0020C
FIB CELLS               A    0020C
TEMP STORAGE            10F  00210
TEMP STORAGE-2          10X  00238
TEMP STORAGE-3          0X   00248
TEMP STORAGE-4          0X   00248
BLL CELLS               2A   00248
VLC CELLS               0A   00250
SBL CELLS               0A   00250
INDEX CELLS             0A   00250
SUBADR CELLS            0A   00250
ONCTL CELLS             0A   00250
PFMCTL CELLS            0A   00250
PFMSAV CELLS            0A   00250
VN CELLS                16A  00280
SAVE AREA =2            0F   002C0
SAVE AREA =3            3F   002C0
XSASW CELLS             0A   002CC
XSA CELLS               0A   002CC
PARAM CELLS             4A   002CC
RPTSAV AREA             0F   002DC
CHECKPT CTR             0F   002DC
