ABBREV      PDS LIBRARY NAME           LIBRARY SEQUENCE

BINDLIB     SYS4.PROD.BINDLIB                   15
CARDLIB     SYS4.PROD.CARDLIB                   03
DBACTL      SYS.CONTROL.CARDLIB                 07
DBACTLF     SYS.FOR.CONTROL.CARDLIB             08
DBRMSCLM    SCLM.PROD.DBRMLIB                   13
DCLGENPR    SYS4.PROD.DCLGEN                    11
JCLLIB      SYS4.PROD.JCL                       01
JCLREFWZ    JX.ALL.REFWIZ.SAMPLIB               17
MACLIB      SYS1.MACLIB                         18
PROCFIX     SYS4.PROD.FIXPROC                   04
PROCLIB     SYS4.PROD.PROCLIB                   02
