#      Licensed Materials - Property of IBM
#      This product contains "Restricted Materials of IBM"
#      5647-A01 (C) Copyright IBM Corp. 1996, 1997
#      All rights reserved.
#      US Government Users Restricted Rights -
#      Use, duplication or disclosure restricted by
#      GSA ADP Schedule Contract with IBM Corp.
#      See IBM Copyright Instructions.

# short name            OID                  type
#----------------------------------------------------

# my system variables

myDescr              1.3.6.1.2.1.1.1.          display
myObjectid           1.3.6.1.2.1.1.2.          objectidentifier
myUptime             1.3.6.1.2.1.1.3.          Timeticks
myContact            1.3.6.1.2.1.1.4.          display
myName               1.3.6.1.2.1.1.5.          display
myLocation           1.3.6.1.2.1.1.6.          display
myServices           1.3.6.1.2.1.1.7.          integer

# DPI SAMPLE MIB (DPI version 2.0 sample program)

dpiSimpleInteger    1.3.6.1.4.1.2.2.1.5.1.0   integer
dpiSimpleString     1.3.6.1.4.1.2.2.1.5.2.0   display
dpiSimpleCounter32  1.3.6.1.4.1.2.2.1.5.3.0   counter32
dpiSimpleCounter64  1.3.6.1.4.1.2.2.1.5.4.0   counter64

# DPI SAMPLE MIB (DPI version 1.1 sample program)

dpiSample              1.3.6.1.4.1.2.2.1.4.      null
dpiSampleNumber        1.3.6.1.4.1.2.2.1.4.1.    uinteger
dpiSampleNumberString  1.3.6.1.4.1.2.2.1.4.1.1.  display
dpiSampleOctetString   1.3.6.1.4.1.2.2.1.4.2.    octetstring
dpiSampleObjectID      1.3.6.1.4.1.2.2.1.4.3.    objectidentifier
dpiSampleEmpty         1.3.6.1.4.1.2.2.1.4.4.    display
dpiSampleInetAddress   1.3.6.1.4.1.2.2.1.4.5.    ipaddress
dpiSampleCounter       1.3.6.1.4.1.2.2.1.4.6.    counter
dpiSampleGauge         1.3.6.1.4.1.2.2.1.4.7.    gauge
dpiSampleTimeTicks     1.3.6.1.4.1.2.2.1.4.8.    timeticks
dpiSampleDisplayString 1.3.6.1.4.1.2.2.1.4.9.    displaystring
dpiSampleCommand       1.3.6.1.4.1.2.2.1.4.10.   displaystring

# SHANDS MIB

sthSysLparName         1.3.6.1.4.1.15037.1.1.    displaystring
sthSysHardwareModel    1.3.6.1.4.1.15037.1.2.    displaystring
sthSysOsProductName    1.3.6.1.4.1.15037.1.3.    displaystring
sthSysOSProductVersion 1.3.6.1.4.1.15037.1.4.    displaystring
sthSysLastIplDate      1.3.6.1.4.1.15037.1.5.    displaystring
sthSysLastIplTime      1.3.6.1.4.1.15037.1.6.    displaystring
sthSysStatus           1.3.6.1.4.1.15037.1.7.    integer
sthCpuUse              1.3.6.1.4.1.15037.1.8.    integer
sthJesSpoolUse         1.3.6.1.4.1.15037.1.9.    integer
sthJesJoeUse           1.3.6.1.4.1.15037.1.10.   integer
sthJesJqeUse           1.3.6.1.4.1.15037.1.11.   integer
sthV2x1Status          1.3.6.1.4.1.15037.2.1.    integer
sthV2x2Status          1.3.6.1.4.1.15037.2.2.    integer
sthCicsSmsprodStatus   1.3.6.1.4.1.15037.3.1.1.  integer
sthCicsSms2prdStatus   1.3.6.1.4.1.15037.3.1.2.  integer
sthCicsSmseadpStatus   1.3.6.1.4.1.15037.3.1.3.  integer
sthCicsHisprodStatus   1.3.6.1.4.1.15037.3.1.4.  integer
sthCicsHisrsStatuss    1.3.6.1.4.1.15037.3.1.5.  integer
sthCicsSmstestStatus   1.3.6.1.4.1.15037.3.1.6.  integer
sthCicsSms2tstStatus   1.3.6.1.4.1.15037.3.1.7.  integer
sthCicsSmseadtStatus   1.3.6.1.4.1.15037.3.1.8.  integer
sthCicsHiststStatus    1.3.6.1.4.1.15037.3.1.9.  integer
sthCicsCsfpStatus      1.3.6.1.4.1.15037.3.1.10. integer
sthDb2DsnpmstrStatus   1.3.6.1.4.1.15037.3.2.1.  integer
sthDb2Dsnpdbm1Status   1.3.6.1.4.1.15037.3.2.2.  integer
sthDb2DsnpdistStatus   1.3.6.1.4.1.15037.3.2.3.  integer
sthDb2IrlmprocStatus   1.3.6.1.4.1.15037.3.2.4.  integer
sthDb2DsnhmstrStatus   1.3.6.1.4.1.15037.3.2.5.  integer
sthDb2Dsnhdbm1Status   1.3.6.1.4.1.15037.3.2.6.  integer
sthDb2DsnhdistStatus   1.3.6.1.4.1.15037.3.2.7.  integer
sthDb2IrlmprohStatus   1.3.6.1.4.1.15037.3.2.8.  integer
sthStcUc4Status        1.3.6.1.4.1.15037.3.3.1.  integer
sthStcXptrmainStatus   1.3.6.1.4.1.15037.3.3.2.  integer
sthStcNimbemcsStatus   1.3.6.1.4.1.15037.3.3.3.  integer
sthHsmStatus           1.3.6.1.4.1.15037.3.4.1.  integer
sthHsmBcdsUse          1.3.6.1.4.1.15037.3.4.2.  integer
sthHsmMcdsUse          1.3.6.1.4.1.15037.3.4.3.  integer
sthHsmOcdsUse          1.3.6.1.4.1.15037.3.4.4.  integer
sthHsmJrnlUse          1.3.6.1.4.1.15037.3.4.5.  integer
