  MEMBER    DESCRIPTION
  $$$DOC    THIS MEMBER
  ASMJCL    SAMPLE JCL TO ASSEMBLE AND LINKEDIT DITTO
  DITTAUTH  DYNAMIC AUTH/DE-AUTH (TSO ENVIROMENT)
  DITTALOC  ACQ/REL COMMANDS
  DITTATTN  TSO ATTENTION EXIT
  DITTCARD  BATCH ENVIRONMENT COMMAND READER
  DITTCDI1  CARD READER
  DITTCDO1  CARD PUNCH
  DITTCMD   COMMANDS TABLE
  DITTCOMM  COMMON DATA MODULE
  DITTCONS  STC ENVIRONMENT COMMAND READER
  DITTDAIR  SYSTEM DAIR INTERFACE
  DITTDAI1  DASD READER
  DITTEXCP  EXCP I/O MODULE
  DITTINIT  INITIALIZATION/TERMINATION MODULE
  DITTINQ   BATCH/STC INQ FUNCTION
  DITTMAIN  BATCH/STC MAINLINE
  DITTPARM  PARAMETER CONVERTER
  DITTPRMD  DENSITY PARAMETER EDIT CHECKER
  DITTPRMO  'OPTION' PARAMETER EDIT CHECKER
  DITTPRMV  VOLSER PARAMETER EDIT CHECKER
  DITTPRO1  'PRINT' OUTPUT
  DITTPRT   PRINTER
  DITTSTAE  STAE EXIT
  DITTTINT  TAPE INITIALIZATION COMMAND
  DITTTMAP  TAPE MAP COMMAND
  DITTTPI1  TAPE READER
  DITTTPI2  FORWARD SPACE FILE COMMAND
  DITTTPI3  BACK-SPACE RECORDS COMMAND
  DITTTPI4  BACK-SPACE FILE COMMAND
  DITTTPO1  TAPE OUTPUT
  DITTTPO2  TAPE REWIND COMMAND
  DITTTPO3  TAPE REWIND-UNLOAD COMMAND
  DITTTPO4  WRITE TAPE MARK COMMAND
  DITTTSOM  TSO ENVIRONMENT MAINLINE
  DITTTSO1  TSO ENVIRONMENT DATA DISPLAY
  DITTTSO2  TSO ENVIRONMENT TAPE MAP
  DITTTSO3  TSO ENVIRONMENT INQ FUNCTION
  DITTXXXX  DUMMY END OF LOAD MODULE
  JCL       SAMPLE JCL TO EXECUTE DITTO IN BATCH
  PROC      SAMPLE JCL TO EXECUTE DITTO AS A STARTED TASK
  TSODITTO  SAMPLE CLIST TO EXECUTE DITTO FROM TSO
