  The PDF members in this pds should be downloaded in BINARY
   to a PC and viewed with ADOBE READER or the equivalent.


  Key between member names in this pds and original names at
    the web site:
  http://www.trainersfriend.com/General_content/Book_site.htm

  Bytes   PDS name                Original PC name
  -----   --------                ----------------

  772,320 $trainfr        772,320 TrainersFriendBrochure.pdf
   32,022 amod31io         32,022 amode_31_io.pdf
  296,332 arcofdb2        296,332 Arc_of_DB2.pdf
  139,215 asmcodg1        139,215 Assembler.Coding.1.pdf
   94,156 bc               94,156 bc.pdf
  209,509 cobol4          209,509 COBOL_4.pdf
  657,512 cdajaxap        657,512 CodingAJAX_Applications.pdf
   72,968 futmainf         72,968 Future_of_Mainframe.pdf
   63,331 hoswebzo         63,331 Hosting_web_on_zos.pdf
  202,647 htmlndiv        202,647 HTML_and_DIV.pdf
  137,349 httpstrt        137,349 HTTP_Starter.pdf
1,310,273 J510sm        1,310,273 J510sm.pdf
    4,314 mfrmffnp.rtf      4,314 MainframesForFunAndProfit.rtf
   72,878 modbusap         72,878 ModernBusinessComputerApplica...pdf
    4,865 peektop2.txt      4,865 peektop2.txt
  103,056 portapch        103,056 PortingApache.pdf
  752,971 readjavd        752,971 Reading_Java_Docs.pdf
  261,786 shdcntrb        261,786 SHARE-Denver-Control-blocks.pdf
  241,519 shddb2lb        241,519 SHARE-Denver-DB2-andLOBs.pdf
  166,549 shdxmldb        166,549 SHARE-Denver-XMLandDB2.pdf
1,429,406 shpackde      1,429,406 SHARE-Packed-Decimal.pdf
   13,598 smtpexit.txt     13,598 smtpexit.txt
    7,167 tsort             7,167 tsort.pdf
  135,264 uncdtalk        135,264 uncdtalk.pdf
   67,342 wrtreent         67,342 Writing_reentrant_programs.pdf
  253,208 xslt01          253,208 xslt01.pdf
  293,297 zosunxle        293,297 zOS_Unix_and_Language_Environment.pdf
          27 Files             7,794,854 bytes

