| Member  | Description         (Enter "INDEX ?" command for more info.)
+---------+---------------------------------------------------------------------
|$$$INDEX |Index gen'd 18/12/96.
|$AUTHSVC |Authorisation SVC (Suggest use .........)
|$EBCDIC  |EBCDIC display of all character sets starting from X'40'
|$EBCDIC1 |EBCDIC display of all character sets starting from X'40'
|$ED      |Assembler edit (ED) command example
|$GETMAIN |GETMAIN MODEL
|$IO      |I/O model
|$IOAISPF |I/O and ISPF combined model
|$ISREDEX |ISREDIT program macro example
|$PCRECV  |PC commands to receive on PC from Host
|$PCSEND  |PC commands to send from PC to Host
|$SPFLOOK |..... Backup .....
|@LPAL    |?????
|@NOSWAP  |?????
|@NZAP    |?????
|AAL      |AAL LOCK SCREEN
|ABEND0C7 |Force an 0C7 abend
|ABEND999 |Force a user abend
|ACMD     |?????
|ACMDA    |?????
|ADYNPDSE |PROGRAM TO TEST OPTIONS OF 'ADYN' MACRO
|ADYNTST4 |ADYN - de-concatenation example
|ADYNTST5 |ADYN - Attempting to concatenate a DD to ISPPLIB
|AKMTEST1 |CICS doggy program driver
|AKMTEST2 |CICS horse program driver
|ALOC     |ISTEN in ACF2 environment
|AMEX1    |ORIGINAL ASSEMBLER TRAINING EXERCISE (CHAMPAGNE JOB)
|ATTCH#0  |Main task - sampple Sub-task processing
|ATTCH#1  |Sub task  - sampple Sub-task processing
|ATTCH#2  |Sub task  - sampple Sub-task processing
|ATTCH#3  |Sub task  - sampple Sub-task processing
|ATTCH#4  |?????
|AUTH1    |Test authorisation SVC
|AUTOPER  |?????
|BJ       |BLACKJACK PROGRAMS
|BJBETP   |BLACKJACK module
|BJBETS   |BLACKJACK module
|BJCOM1   |BLACKJACK module
|BJCUT    |BLACKJACK module
|BJDEAL   |BLACKJACK module
|BJDROP   |BLACKJACK module
|BJEBETS  |BLACKJACK module
|BJEINS   |BLACKJACK module
|BJEOD    |BLACKJACK module
|BJEVAL   |BLACKJACK module
|BJEXC    |BLACKJACK module
|BJFIX    |BLACKJACK module
|BJFIXIT  |BLACKJACK module
|BJINS    |BLACKJACK module
|BJINSP   |BLACKJACK module
|BJPAY    |BLACKJACK module
|BJPHK    |BLACKJACK module
|BJPHKE   |BLACKJACK module
|BJPINS   |BLACKJACK module
|BJREG    |BLACKJACK module
|BJSHFLV  |BLACKJACK module
|BJVDEF   |BLACKJACK module
|BLDNVAR  |Build a variable length dataset
|BLDNVSAM |Build a NON-VSAM dataset
|BLJ      |Black Jack driver
|CALENDAR |CALENDAR TEMPLATE GENERATOR
|CALLCOB  |?????
|CALLDEL  |Call DELETE program
|CALLSUB  |Call SUBMIT program
|CCX      |Convert character to HEX (Obsolete - Use REXX)
|CDMP2XX  |?????
|CDMP211  |?????
|CDMP212  |?????
|CDMP3XX  |?????
|CICSD    |?????
|CICSGTIO |?????
|CICSJNL1 |?????
|CICSTGET |?????
|CICSTGE1 |?????
|CICSXALC |XMEM modules covering most facilities for examples
|CICSXFCT |XMEM modules covering most facilities for examples
|CICSXFCV |XMEM modules covering most facilities for examples
|CICSXRGN |XMEM modules covering most facilities for examples
|CICSXTUT |XMEM modules covering most facilities for examples
|CMONEX1  |Original start of CICSXMEM
|COLS     |Create column display overlay
|CONCAT   |Concatenate dataset
|CONCATUN |Concatenate(un) dataset
|CONS     |MVS Console display
|CON2MONO |Convert a color 3270 data stream to mono
|COPYMEMB |COPY MEMBER FROM ONE PDS TO ANOTHER
|CPCXJOP3 |?????
|CSA$COM  |CSA monitor
|CSA$JCL  |CSA monitor
|CSA$KOFF |CSA monitor
|CSA$MON1 |CSA monitor
|CSA$MON2 |CSA monitor
|CSA$MON3 |CSA monitor
|CSA$MON4 |CSA monitor
|CSA$ROFF |CSA monitor
|CVTJCLSS |?????
|CVTJOBCL |?????
|CVTUBASE |?????
|CVTUENQ  |?????
|CVTULOAD |?????
|CVTUTABL |?????
|C2PRINT  |Convert unprintable characters to printable ('.')
|DASDSPAC |?????
|DASDSPC  |DASD free space routine (Obsolete with HCD)
|DASDVOLS |?????
|DCPU     |Display CPU utilisation (off CBT)
|DISASM   |Disassembler driver
|DISASM$H |Disassembler (help)
|DISASM1  |Disassembler
|DISASM2  |Disassembler
|DSAT     |Required by TRIM
|DSAT2    |Required by TRIM
|DWWPRCOB |?????
|DWWPREEX |?????
|EDITU255 |Edit RECFM=U,LRECL>255 (not finished)
|EDT      |Eligible Device Table (returns all DASD under generic name)
|EDT$     |Eligible Device Table
|ESTAEEX  |ESTAE example
|EXTBSPAN |SKELETON FOR READING SPANNED RECORDS
|EXTEHEXC |VSAM EXTENDED - CONVERT TWO BYTE CHAR TO HEX
|EXTENVSM |NOVSAM EXTENDED - EDIT DATASET > 255 BYTES
|FING     |Finger in 3270 data stream format
|FORCEDMP |Program to force a S0C4 dump
|FPSPRAND |?????
|FREDDY   |?????
|FREDDYL  |?????
|GDDM     |?????
|GDDMTEST |?????
|GDDMV230 |?????
|GDDM2    |?????
|GETVOL   |Get volser for a dataset
|HAL      |HALTEK USS TABLE FOR LOGON
|HALHPROG |Help screen driver for HALKEY
|HAL1     |HALTEK USS TABLE 3270 data stream
|HEL      |Scrollable HELP display
|HK100    |?????
|HK110    |?????
|HRK      |HOECHST LOGO
|HRK1     |HOECHST LOGO 3270 data stream
|HURKST1@ |BMS map
|ICHRIX0Z |?????
|IEFUJI   |IBM user exit
|IGC0022A |?????
|IGC0024G |SVC 247 program authorisation
|IKJEFF10 |IBM user exit
|KICKOFF  |?????
|LLGMM    |?????
|LOCATEDS |?????
|LOOK     |?????
|LPA$MSG  |Macro called by LPAADD to issue messages
|LPAADD   |Add module to LPA
|LPAMSG   |Module called by LPAADD to issue messages
|MAIN     |1st. half of 'QED' program
|MSGR     |Repeat message
|NAB      |NAB LOGO
|NABSCR   |NAB LOGO 3270 data stream
|NABSCR1  |NAB LOGO 3270 data stream
|NCPYPS2@ |?????
|NETMSTR  |NAB LOGO 3270 data stream
|NETMSTR1 |NAB LOGO 3270 data stream
|OSCORE   |CICS OSCORE navigator for MVS/SP (Obsolete)
|OSCORE1  |?????
|OTHELLO  |OTHELLO the game
|PDSDIR   |Extend number of PDS directories (Off CBT tape)
|PUTLPROG |PUTLINE program example (Use 'PUTL' macro)
|QED      |2nd. half of 'MAIN' program
|QEDIT    |?????
|RACREX1  |RACF RACROUTE exit test program
|RAINBOW1 |Used by RAINBOW
|RDJESX01 |?????
|REVCMPBF |Component of the CBT 'REVIEW' package
|REVIEW   |Component of the CBT 'REVIEW' package
|REVIEW$  |Component of the CBT 'REVIEW' package
|REVIEW#  |Component of the CBT 'REVIEW' package
|REVIEW@  |Component of the CBT 'REVIEW' package
|REVSMF   |Component of the CBT 'REVIEW' package
|REVTAPE  |Component of the CBT 'REVIEW' package
|RNVSAM   |Random number reader of VSAM dataset
|RN10     |?????
|RN312    |Random number generator from 1 to 312 (6 card decks)
|RN312X   |Random number generator from 1 to 312 (6 card decks)
|RN52     |RANDOM NUMBER GENERATOR 1 TO 52
|RS1      |Resuze a dataset
|RVSAM    |Random read of VSAM dataset to test using VSAM in dataspace
|RVSMCOMA |READ VSAM NON-ISPF INTERFACE
