C066 - CICS Update #66 May 1991
Index to files contained in archive

Filename  Article name
--------  ------------
C066A01   Deleting temporary storage queues
C066A02   A program to issue AR commands from CICS
C066A03   Displaying CICS/BMS maps under CMS (continued)
C066A04   Dataspace access via Task Related User Exit
C066A05   Job submission from CICS to VSE/POWER
C066A06   The minimal standard random number generator
C066A07   The SHARE CICS performance tutorial
C066A08   Reconstructing transaction screen images

