V056 - VM Update Issue #56  April 1991
Index to files contained in archive

Filename  Article title
--------  -------------
V056A01   Article of the Year Awards
V056A01   Converting PC images
V056A01   Do I need VM/ESA? - revisited
V056A01   PROP routing routine (continued)
V056A01   Digital clock for the XEDIT screen
V056A01   'Answerphone' for terminals
V056A01   Prefix commands without a prefix area
V056A01   Saving and restoring CP settings - revisited
V056A01   Allowing CMS users to view the print queue

