Member   | Description
---------|------------------------------------------------------------------
##MEMBS  | This member
---------|------------------------------------------------------------------
#AOFWAIT | JCL to call REXX @AOFWAIT to test AOFWAIT that posts message
---------|------------------------------------------------------------------
#AOFWTO  | JCL to call REXX @AOFWTO  to test AOFWTO to issue WTO
---------|------------------------------------------------------------------
#AOFWTOR | JCL to call REXX @AOFWTOR to test AOFWTOR to issue WTOR
---------|------------------------------------------------------------------
@AOFPAUS | REXX exec to call AOFPAUSE to wait specified seconds
---------|------------------------------------------------------------------
@AOFWAIT | REXX exec to call AOFWAIT to wait for message to be posted
---------|------------------------------------------------------------------
@AOFWTO  | REXX exec to issue WTO
---------|------------------------------------------------------------------
@AOFWTOR | REXX exec to issue WTOR
---------|------------------------------------------------------------------
@AOFWTO2 | REXX exec to issue WTO
---------|------------------------------------------------------------------
ALLCLOAD | JCL to allocate AOF LOADLIB
---------|------------------------------------------------------------------
AOFBSCAN | Assembler routine to do a binary scan of AOF message table
---------|------------------------------------------------------------------
AOFCB    | AOF control block DSECT
---------|------------------------------------------------------------------
AOFCVTDB | Assembler routine to convert ebcdic decimal to binary
---------|------------------------------------------------------------------
AOFLOAD  | Assembler routine to load AOF table
---------|------------------------------------------------------------------
AOFMATCH | Assembler routine to scan AOF table for a match
---------|------------------------------------------------------------------
AOFMCS   | Main Assembler routine
---------|------------------------------------------------------------------
AOFNTRY  | DSECT for entry in AOF table
---------|------------------------------------------------------------------
AOFPARS  | Assembler routine to parse message strings
---------|------------------------------------------------------------------
AOFPAUSE | Assembler routine to pause specified number of seconds
---------|------------------------------------------------------------------
AOFPROC  | AOF startup PROC
---------|------------------------------------------------------------------
AOFSAMP  | Sample AOF table
---------|------------------------------------------------------------------
AOFSVC   | Assembler SVC routine to issue system level token create/delete
         | Used by AOFWAIT
---------|------------------------------------------------------------------
AOFWAIT  | Assembler routine for AOFWAIT REXX function to wait for message
---------|------------------------------------------------------------------
AOFWTO   | Assembler routine for AOFWTO  REXX function to issue WTO
---------|------------------------------------------------------------------
AOFWTOR  | Assembler routine for AOFWTOR REXX function to issue WTOR
---------|------------------------------------------------------------------
ASMALL   | JCL to do all assemblies (assembly for AOFSVC is commented out)
---------|------------------------------------------------------------------
ASMONE   | JCL to asseble AOFWTO
---------|------------------------------------------------------------------
ASMSAMP  | JCL to assemble sample AOF table AOFSAMP
---------|------------------------------------------------------------------
MSGCB    | Message control block DSECT
---------|------------------------------------------------------------------
TABEND   | End of table MACRO
---------|------------------------------------------------------------------
TABENTRY | Table entry MACRO
---------|------------------------------------------------------------------
TABSTART | Table start MACRO
---------|------------------------------------------------------------------
WTOTEST  | JCL to issue test WTO
---------|------------------------------------------------------------------
